quarter,eps
Q1 2018,$4.18
Q4 2018,$2.95
Q3 2018,$2.34
Q2 2018,$2.73
Q1 2017,$3.89
Q4 2017,$2.08
Q3 2017,$1.67
Q2 2017,$2.10
Q1 2016,$3.36
Q4 2016,$1.71
Q3 2016,$1.42
Q2 2016,$1.90
Q1 2015,$3.28
Q4 2015,$1.98
Q3 2015,$1.85
Q2 2015,$2.33
Q1 2014,$3.06
Q4 2014,$1.44
Q3 2014,$1.28
Q2 2014,$1.66
Q1 2013,$2.07
Q4 2013,$1.20
Q3 2013,$1.07
Q2 2013,$1.44
Q1 2012,$1.97
Q4 2012,$1.24
Q3 2012,$1.33
Q2 2012,$1.76
Q1 2011,$1.98
Q4 2011,$1.01
Q3 2011,$1.11
Q2 2011,$0.91
Q1 2010,$0.92
Q4 2010,$0.66
Q3 2010,$0.50
Q2 2010,$0.48
Q1 2009,$0.52
Q4 2009,$0.40
Q3 2009,$0.29
Q2 2009,$0.26
Q1 2008,$0.36
Q4 2008,$0.38
Q3 2008,$0.17
Q2 2008,$0.17
Q1 2007,$0.25
Q4 2007,$0.14
Q3 2007,$0.13
Q2 2007,$0.12
Q1 2006,$0.16
Q4 2006,$0.09
Q3 2006,$0.08
Q2 2006,$0.07
Q1 2005,$0.09
Q4 2005,$0.07
Q3 2005,$0.05
Q2 2005,$0.05
